Model,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Sensitivity,Specificity,MCC,Youden's J,F1-score,F0.5-score,Brier Score,ECE,AUC-ROC,Sample Size
SVM,156,156,58,66,0.7155963302752294,0.7289719626168224,0.7027027027027027,0.7289719626168224,0.43167466531952514,0.43167466531952514,0.7155963302752294,0.7155963302752294,0.19157335430039882,0.05184897279247616,0.7819525132609244,436
TabPFN-all,170,161,53,52,0.7591743119266054,0.7623318385650224,0.7657657657657657,0.7523364485981309,0.5181512964400498,0.5181022143638967,0.7640449438202247,0.7640449438202247,0.1761968687263835,0.06940263826755746,0.8157573461311778,436
TabPFN-529,171,155,59,51,0.7477064220183486,0.7434782608695653,0.7702702702702703,0.7242990654205608,0.4952369399237963,0.49456933569083095,0.7566371681415929,0.7566371681415929,0.18030224360993646,0.07194464575027784,0.8080323313968174,436
TabPFN-100,167,151,63,55,0.7293577981651376,0.7260869565217392,0.7522522522522522,0.705607476635514,0.45847777992945254,0.45785972888776616,0.7389380530973452,0.7389380530973452,0.18316376436887383,0.07128328371507321,0.8045276584996212,436
ANTIGENpro,187,96,118,35,0.6490825688073395,0.6131147540983607,0.8423423423423423,0.4485981308411215,0.31725023117623563,0.2909404731834637,0.7096774193548387,0.7096774193548387,0.23778752370858386,0.18458903502216883,0.7504736044455671,436
VaxiJen 3.0,134,153,61,88,0.658256880733945,0.6871794871794872,0.6036036036036037,0.7149532710280374,0.320290847605421,0.31855687463164095,0.6426858513189448,0.6426858513189448,0.28438669724770643,0.16004587155963304,0.6906836743285342,436
VaxiJen 2.0,186,77,137,36,0.6032110091743119,0.5758513931888545,0.8378378378378378,0.3598130841121495,0.2254975021113568,0.19765092194998735,0.6825688073394496,0.6825688073394496,0.2462372022022918,0.13658804482397385,0.6807906036878,436
IApred,146,167,47,76,0.7178899082568807,0.7564766839378239,0.6576576576576577,0.780373831775701,0.4408663127512089,0.4380314894333588,0.7036144578313253,0.7036144578313253,0.19550871837500197,0.07102997327300231,0.7830681148438157,436
